,j_tittle,c_name,company_locations,job_description,Apply_link
52,Accounting Clerk,Minds Matter LLC,"Overland Park, KS","$$$ Minds Matter is seeking a dedicated and detail-oriented Accounting Clerk to join our finance team. This entry-level position is perfect for individuals looking to start their career in accounting and finance. The ideal candidate will have a keen eye for detail, strong math skills, and experience with QuickBooks is preferred. SPECIFIC DUTIES/RESPONSIBILITIES: Invoice Management Scan, enter, and file incoming invoices accurately and efficiently. Payables Reporting Prepare and report weekly payables for approval to pay, ensuring timely and accurate documentation. Payment Processing Process payments and mark payables as paid in QuickBooks. Bank Reconciliation Perform daily reconciliation of bank transactions to ensure all records are accurate and up-to-date. Billing Reports Pull billing reports and enter data into QuickBooks for accurate tracking and reporting. Payment Application Apply daily payments to the correct accounts in QuickBooks. Deposit Preparation Prepare daily bank deposits, ensuring accuracy in all financial records. Credit Card Reconciliation Reconcile and code credit card payments, collect receipts, and ensure proper documentation. Filing Maintain organized and efficient filing systems for financial documents. Communication Ensure timely communication and follow-up with vendors and internal departments to resolve any discrepancies or issues. Confidentiality Maintain the strictest confidentiality; adhere to all HIPAA regulations. Perform other duties as assigned. SUPERVISORY RESPONSIBILITY: None MINIMUM EDUCATION AND EXPERIENCE: High School or GED equivalent required.Required Skills And AbilitiesBasic knowledge of excel. Accounting software experience. Skills Strong attention to detail and accuracy. Good mathematical skills. Proficient in Microsoft Office Suite (Word, Excel, Outlook). Excellent communication skills and ability to follow up effectively. Requirements Entry-level candidates are welcome. Must be able to work in-office Powered by JazzHRShow moreShow less",https://www.linkedin.com/jobs/view/accounting-clerk-at-minds-matter-llc-3997881461?position=53&pageNum=0&refId=aypv74DwICvOomEBmb9VZA%3D%3D&trackingId=pfl7ApjWOwue%2BjqF9tsWaQ%3D%3D&trk=public_jobs_jserp-result_search-card
53,Front End Software Engineer,CATALOG,"Boston, MA","$$$ CATALOG, a Boston-based pioneering startup, is making significant strides in the field of data storage and computation by harnessing the power of DNA. DNA, known for its millennia-long stability, unrivaled information density, and cost-effective replicability, offers revolutionary potential for latency-tolerant high-density data storage and massively parallel computation. We are seeking seeking a talented Front End Software Engineer. This role is critical for developing and maintaining user-facing elements of our cloud services, ensuring a seamless and engaging experience for both our customers and internal teams.In this role you will:Develop and maintain the front end of CATALOG’s cloud services, ensuring high performance and responsivenessCollaborate with UI/UX designers to transform design wireframes and prototypes into high-quality, scalable codeWork closely with backend engineers to integrate APIs and ensure end-to-end functionality of the applicationImplement best practices in front end development, including code quality, testing, and documentationParticipate in architectural discussions and contribute to the overall strategy and direction of front-end developmentWe are seeking someone with the following background:Proven experience in front end development, with strong proficiency in JavaScript, HTML, and CSSExperience with modern front-end frameworks and libraries, such asReact and AngularStrong understanding of web development principles, including responsive design, cross-browser compatibility, and performance optimizationFamiliarity with version control systems, such as Git, and build tools like NPM, GruntExperience with testing frameworks and tools,is a plusAbility to work in a fast-paced startup environment, adapting to changing requirements and prioritiesWe are looking for someone driven by:The passion for creating high-quality, user-centric web applications that enhance customer experiencesA commitment to continuous improvement, staying updated with industry trends and best practicesThe opportunity to work collaboratively with a diverse team, contributing to innovative solutions in the field of DNA-based data storage and computationYou will also need to be able to:Effectively communicate technical ideas and concepts to stakeholders at all levelsBalance user needs with business goals, ensuring the front end is both user-friendly and aligned with company objectivesLead by example, promoting a culture of excellence in front end developmentAt CATALOG, we challenge you to think critically, work creatively, and conquer uncharted problems in a groundbreaking field. We believe in building an inclusive team with different points of view. We support and celebrate diversity in our workforce. We offer competitive compensation packages, including medical, dental, and vision insurance, 401(k) with company matching, and generous PTO.Note:Even if you don’t meet all of the requirements listed, we encourage you to apply. Think of it more as looking for most of the items listed, not all.Please note, visa sponsorship is not available for this positionPowered by JazzHR0aPShjBTppShow moreShow less",https://www.linkedin.com/jobs/view/front-end-software-engineer-at-catalog-3991929419?position=54&pageNum=0&refId=aypv74DwICvOomEBmb9VZA%3D%3D&trackingId=t0edCzQFDWkyGVwpHb3nPw%3D%3D&trk=public_jobs_jserp-result_search-card
54,Software Engineer,Healthmine,United States,"$$$ JOB TITLE:Software EngineerDEPARTMENT:EngineeringREPORTS TO:VP, EngineeringTYPE:Full Time, ExemptLOCATION:RemoteCOMPENSATION:$90,000 - $113,000ROLE SUMMARY:As a Software Engineer, you play a material role in the implementation, delivery, and support of the Healthmine SaaS technology platform that is used by our customers and their covered members. You contribute to several facets of our product, which can include web and mobile front-end applications, RESTful microservices, event-/data-processing pipelines, third-party service integrations, persistence layers, and/or AWS infrastructure. You work in small, focused product teams that use a combination of Agile and Kanban workstream management strategies to frequently deliver appropriate amounts of value. You also contribute to product-related conversations in terms of evaluating feasibility of requested features, estimating implementation effort, and providing regular feedback to your group’s Product Manager to help improve both product and process. Finally, as a more experienced member of the larger Engineering Team, you also frequently contribute to other product teams.WHAT YOU WILL DO:Collaborate with other team members of mixed disciplines to design, implement, test, and support new features as well as improve existing features.Participate in an SDLC that borrows from both Agile and Kanban to maximize team velocity without sacrificing quality or correctness.Contribute to the evolution of the Healthmine SaaS technology platform by participating in architecture/design decision-making and vetting processes.Contribute to other product teams on an as-needed basis or as your particular strengths give you opportunity.Maintain architecture documentation regarding the current state of the Healthmine SaaS technology platform.Actively mentor your Engineering Team peers.Be an excellent team player with the ability to be both independent and highly collaborative.Proactively learn new skills, concepts, programming languages, and technology stacks with a strong bias toward action and pragmatism.WHAT YOU NEED:Bachelor’s degree in Computer Science, Mathematics, Management Information Systems, or an equivalent in working experience.3+ years contributing to multitenant SaaS products in a professional context.Current proficiency in React, Spring Boot, and at least one JVM language (Kotlin is preferred).Strong proficiency in SQL and in working with transactional databases.Demonstrated experience using formal software design patterns; you can easily identify applied patterns in existing code.Demonstrated experience creating distributed applications in a cloud-based environment (Amazon AWS preferred); you understand one or more strategies for enabling integration between different components.Significant experience working in a highly-automated and -disciplined development environment with tools like GitHub, TeamCity, and modern IDEs (VS Code, IntelliJ, WebStorm).Significant experience working in an Agile/Scrum/Kanban environment and working with supporting tooling such as Pivotal Tracker, Jira, Rally, or Trello.Significant experience in maintaining cloud-based documentation and supporting materials using products such as Google Docs/Drive, Microsoft SharePoint/OneDrive, Lucidchart, Slab, or Notion.Applicants must be authorized to work for any employer in the U.S. We are unable to sponsor or take over sponsorship of an employment Visa at this time.WHAT WE PROVIDE:Competitive base salaries, full benefits (medical, dental, vision), and company paid STD/LTD benefits.401(k) with match and 100% vested on first day of contribution.100% remote work environment with semi-flexible work schedules.Generous Universal Parental Leave.18 PTO days and 16 Paid Holidays.ABOUT HEALTHMINE:Healthmine is a technology-enabled member engagement and rewards company. We build personalized, ongoing engagement strategies for health plans that drive healthy action through incentives and rewards, enhance member experience, and improve outcomes.Healthmine provides equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, pregnancy, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, Healthmine will provide reasonable accommodations for qualified individuals with disabilities.Show moreShow less",https://www.linkedin.com/jobs/view/software-engineer-at-healthmine-3997646694?position=55&pageNum=0&refId=aypv74DwICvOomEBmb9VZA%3D%3D&trackingId=s6YEQthYsqYcBAxxRJK2qQ%3D%3D&trk=public_jobs_jserp-result_search-card
55,Accounting Clerk,Charger Water Treatment Products,"Morton Grove, IL","$$$ We are looking for an experienced Accounting Clerk to join our team at Charger Water Treatment Products in Morton Grove, Illinois.The Accounting clerk plays an integral role in the finance department. We are seeking a detail-oriented, experienced, and highly organized person with a strong accounting background and experience in reconciliation.Primary Responsibilities:Perform daily accounting tasks, including posting transactions, and reconciling accounts receivable and payableProcess customer payments and maintain accurate records of all financial transactionsCollaborate with internal teams to resolve any billing or payment issuesDaily reconciliation of branch Accounts Receivable postingsMonitor outstanding invoices and follow up with customers to ensure timely paymentSet up new customer and terms in EclipseReviews billing transactions (automated or manual) for timeliness and accuracyConduct regular customer account reconciliations to ensure accuracy and identify discrepanciesBackup for Credit & Collection ManagerMonitor outstanding invoices and follow up with customers to ensure timely paymentMaintain proper documentation and filing systems for financial records and transactionsCharger Water Treatment Products is a leading company in the residential and commercial water treatment industry. We specialize in designing and manufacturing water treatment equipment such as filters, softeners, and iron breakers. We provide high-quality products and exceptional customer service.Requirements5-8 years' experience.Knowledge of basic accounting principles and practicesProficient in using MS Office applications, particularly ExcelExperience in Epicor Solar a plusStrong attention to detail and accuracyExcellent organizational and time management skillsEffective communication and interpersonal skillsAbility to work independently and collaboratively in a team environmentMonday-Friday, 8 a.m. - 4:30 p.mOn-siteBenefitsCompetitive hourly salaryNew Hire Bonus that accrues to $1000 at the end of your first yearComprehensive Benefits Package including Medical with HSA card, Dental, Long and Short Term Disability, 401K with company matching, paid vacation, and Life InsuranceOpportunities for Education and TrainingOur goal is to engage strong, focused individuals. We provide a secure work environment and the opportunity for improvement and advancement in a company culture designed to encourage personal growth. We promote from within.Charger Water Treatment is an Equal Opportunity Employer and Prohibits Discrimination and Harassment of Any Kind: Charger Water is committed to the principle of equal employment opportunity for all employees and to providing employees with a work environment free of discrimination and harassment. All employment decisions at Charger Water are based on business needs, job requirements and individual qualifications, without regard to race, color, religion or belief, family or parental status, or any other status protected by the laws or regulations in the locations where we operate. We encourage applicants of all ages and genders to apply.Show moreShow less",https://www.linkedin.com/jobs/view/accounting-clerk-at-charger-water-treatment-products-3997305922?position=56&pageNum=0&refId=aypv74DwICvOomEBmb9VZA%3D%3D&trackingId=BpIw0Eelit5DIagDbUYOfg%3D%3D&trk=public_jobs_jserp-result_search-card
56,Frontend Software Engineer - Tools,Verkada,"San Mateo, CA",Related to grapgics design,https://www.linkedin.com/jobs/view/frontend-software-engineer-tools-at-verkada-3997829458?position=57&pageNum=0&refId=aypv74DwICvOomEBmb9VZA%3D%3D&trackingId=%2BHaa4KOY6iehdIyXybUT3w%3D%3D&trk=public_jobs_jserp-result_search-card
57,In-House Accountant/Bookkeeper,Eden's Floors Inc,"San Diego, CA",Related to grapgics design,https://www.linkedin.com/jobs/view/in-house-accountant-bookkeeper-at-eden-s-floors-inc-3994019426?position=58&pageNum=0&refId=aypv74DwICvOomEBmb9VZA%3D%3D&trackingId=5uA8EnAQ%2FDWYxJxcpSJhqA%3D%3D&trk=public_jobs_jserp-result_search-card
58,Software Engineer 4 - Consumer UI Engineering,Netflix,"Los Gatos, CA",Related to grapgics design,https://www.linkedin.com/jobs/view/software-engineer-4-consumer-ui-engineering-at-netflix-3996831766?position=1&pageNum=2&refId=g67oZABPrA6zK6UyV6eSJw%3D%3D&trackingId=bQiBKP3huk5tGOJjbDlPPg%3D%3D&trk=public_jobs_jserp-result_search-card
59,(New grad) Software Engineer,Pylon,"San Francisco, CA",Related to grapgics design,https://www.linkedin.com/jobs/view/new-grad-software-engineer-at-pylon-3987801228?position=2&pageNum=2&refId=g67oZABPrA6zK6UyV6eSJw%3D%3D&trackingId=yXvP6aCJlBtRsHoCnb376g%3D%3D&trk=public_jobs_jserp-result_search-card
60,Software Engineer (Fullstack),Opendoor,"San Francisco, CA","$$$ Location:Remote roles in the US are available in all states EXCEPT Hawaii, Alaska, Montana, or any US Territories. Extremely strong preference for candidates in the SF Bay Area or Seattle.What You’ll NeedExperience: Proven experience as a Software Engineer, with a strong track record of technical leadership and impactful contributions. A track record of 3+ years of software engineering experience building consumer products.Technical Skills: Proven expertise in our stack: Javascript/TypeScript with React on the frontend, and one backend language (we focus on Ruby and Go). Experience with NextJS or Remix preferred.Product Sense: Ability to make data-driven product decisions, working with Product and various stakeholders to build products that start and end with the customer.About The RoleThe Marketplace team is an early-stage, growth team within Opendoor focused on building a revolutionary new way for our customers to buy and sell their home. This is a very unique opportunity to experience the speed, excitement, and ownership of a startup, with the support and resources of a larger company like Opendoor.The Marketplace team is looking for a software engineer to help build out the future of real estate. This role will involve collaborating across functions to dream up, build, and release new features that drive learnings and delight our customers. This is a full-stack role, involving building extraordinary user experiences on the frontend while creating reliable backend services to support the growth of the team.What You’ll DoWork with product and design to evaluate, solution, and implement new features, driving the full development lifecycle from idea to release across the frontend and backend.Mentor and coach other engineers, sharing best practices around coding and architecture that support a business at an early growth stage.Take part in code reviews and architectural discussions as you work with other software engineers, UX designers, and product managers.Continuously discover, evaluate, and implement new technologies to improve development velocity and iteration speed.Bonus points if you haveExperience crafting engaging mobile apps with React Native, or iOS and Android native technologiesEarly stage startup experienceCompensation:Our compensation reflects the cost of labor across several  U.S. geographic markets, and we pay differently based on those defined markets. Base pay is one part of our total compensation package and is determined within a range. This provides the opportunity to progress as you grow and develop within a role. The U.S. pay range for this position in most locations  is$114,400-$161,000annually. In the SF Bay Area of California, Seattle, and New York City Metro area the base salary range is$143,200 - $179,000. Pay within this range varies by work location and may also depend on your qualifications, job-related knowledge, skills, and experience. Your recruiter can share more about the specific salary range for the job location during the hiring process. We also offer a comprehensive package of benefits including paid time off, 12 paid holidays per year, medical/dental/vision insurance, basic life insurance, and 401(k) to eligible employees.About OpendoorFounded in 2014, Opendoor’s mission is to power life’s progress one move at a time. We believe the traditional real estate process is broken and our goal is simple: build a digital, end-to-end customer experience that makes buying and selling a home simple and certain.To learn how we are reinventing the Real Estate industry check out our website.Hear about our culture directly from team members by visiting The Muse.Discover what we are building for our customers by reading our blog.Opendoor Values OpennessWe believe that being open about who we are and what we do allows us to be better. Individuals seeking employment at Opendoor are considered without regard to race, color, religion, national origin, age, sex, marital status, ancestry, physical or mental disability, veteran status, sexual orientation, gender identity or other protected status under all applicable laws, regulations, and ordinances. We collect, use, and disclose applicant personal information as described in our personnel privacy policies. To learn more, you can find the policy details for California residents here and for Canada residents here.Show moreShow less",https://www.linkedin.com/jobs/view/software-engineer-fullstack-at-opendoor-3991763228?position=3&pageNum=2&refId=g67oZABPrA6zK6UyV6eSJw%3D%3D&trackingId=ze%2B8%2FKnUhr07JB3zAs0RUw%3D%3D&trk=public_jobs_jserp-result_search-card
61,Software Engineer,Element,"Washington, DC",Related to grapgics design,https://www.linkedin.com/jobs/view/software-engineer-at-element-3997311233?position=4&pageNum=2&refId=g67oZABPrA6zK6UyV6eSJw%3D%3D&trackingId=LS6X3ZPed94ZW6Qcn0Pobg%3D%3D&trk=public_jobs_jserp-result_search-card
62,Senior Software Engineer - Frontend,LinkedIn,"Mountain View, CA",Related to grapgics design,https://www.linkedin.com/jobs/view/senior-software-engineer-frontend-at-linkedin-3991691607?position=5&pageNum=2&refId=g67oZABPrA6zK6UyV6eSJw%3D%3D&trackingId=Kpd7JyvXdEXa7SmCCpg%2FGg%3D%3D&trk=public_jobs_jserp-result_search-card
63,Software Engineer (Angular),SMARTWORK IT SERVICES LLC (SWITS),"Cincinnati, OH","$$$ Job Title : Software Engineer (Angular)Location: Hybrid – Cincinnati, OH (Local only)Job Type : Full TimeJob DescriptionFull lifecycle application developmentDesigning, coding and debugging applications in Angular/TypeScript/RxJS (front end), Kotlin/Spring Boot (back end) with REST API and RDBMS (SQL) data sources.Software analysis, code analysis, requirements analysis, software review, identification of code metrics, system risk analysis, software reliability analysisObject-oriented and Functional DesignFront end graphical user interface designSoftware testing and quality assurancePerformance tuning, improvement, balancing, usability, automation.Support, maintain and document software functionalityIntegrate software with existing systemsEvaluate and identify new technologies for implementationMaintain standards complianceImplement localization or globalization of softwareUndergraduate degree in computer engineering, computer science, information technology or a related discipline.Technical SkillsMust Have:TypeScript/RxJS (front end), Kotlin/Spring Boot (back end) with REST API and RDBMS (SQL) data sources.Advanced SQLAngularApplication Dev. - Software EngineerSpring BootNice To HaveKotlinLinux AdministrationShow moreShow less",https://www.linkedin.com/jobs/view/software-engineer-angular-at-smartwork-it-services-llc-swits-3995535441?position=6&pageNum=2&refId=g67oZABPrA6zK6UyV6eSJw%3D%3D&trackingId=VfFsQqjG9HJG%2Bk3GTSq7cA%3D%3D&trk=public_jobs_jserp-result_search-card
64,Software Engineer,Workiy Inc.,"Chicago, IL","$$$ Responsibilities:Senior Software Engineer role is responsible for working with a team of technology engineers, and contribute to projects to drive and execute the strategy for technology advances in CME’s electronic trading platformIndividual will be working on projects for systems that must achieve a unique blend of ultra-low latency performance, the capacity to seamlessly facilitate the busiest trading days in the world economy, rock-solid reliability and integrity and handle real-time synchronization of a geographically distributed system, all while undergoing rapid release cyclesThis role is within QDM team which is responsible for Quote streaming of millions of messages per day , Order Entry and Matching with the lowest possible latencyRequirementsSkills:Develops designs for all aspects of a project;Experience working with high availability, low latency systemsExperience working with Java (Data Structures, Collections, Multi-threading) , Oracle & LinuxAbility to communicate clearly in written and oral form to team membersExhibits language proficiency and independently writes application modules and unit tests as well as designs independentlyContributes to architectural discussions. Interprets and enforces architecture for a development teamInfluences best practices development, contributing to process enhancements, and enforces best practices on project workConducts system-wide testing and some integration testing (Junit and cucumber)Helps with debugging/designing the automated test frameworksProvides input for code reviews and helps with environment build deployments, release notes and build notices; Reviews code to proactively identify and mitigate potential issues and defects and helps to identify sources of defects as well as troubleshoots various forms of codeUses design tools to frequently share and communicate design ideas on larger systemsUses patterns frequently, contributing to best practice and process enhancementsA bachelor or masters’ degree.Show moreShow less",https://www.linkedin.com/jobs/view/software-engineer-at-workiy-inc-3997042647?position=7&pageNum=2&refId=g67oZABPrA6zK6UyV6eSJw%3D%3D&trackingId=WUgBIjX1PtanAs%2B9pBhCJg%3D%3D&trk=public_jobs_jserp-result_search-card
65,Accounting Clerk,MMI Hospitality Group,"St Simons Island, GA",Related to grapgics design,https://www.linkedin.com/jobs/view/accounting-clerk-at-mmi-hospitality-group-3997385918?position=8&pageNum=2&refId=g67oZABPrA6zK6UyV6eSJw%3D%3D&trackingId=3y%2FhYDP82ppffmoGwbdFJA%3D%3D&trk=public_jobs_jserp-result_search-card
66,Accounting Assistant,Salon Service Group,"Springfield, MO",Related to grapgics design,https://www.linkedin.com/jobs/view/accounting-assistant-at-salon-service-group-3997659864?position=9&pageNum=2&refId=g67oZABPrA6zK6UyV6eSJw%3D%3D&trackingId=nA1%2FZWfNiVydvhuTLxJPSQ%3D%3D&trk=public_jobs_jserp-result_search-card
67,Staff Software Engineer - Frontend,LinkedIn,"Mountain View, CA",Related to grapgics design,https://www.linkedin.com/jobs/view/staff-software-engineer-frontend-at-linkedin-3991693342?position=1&pageNum=5&refId=Q9HIBB9DZnOE1QnqojrC4g%3D%3D&trackingId=cl6bX2MchjBmdIwq9zHnIQ%3D%3D&trk=public_jobs_jserp-result_search-card
68,Junior Full Stack Software Engineer,Interclypse,"Annapolis Junction, MD",Related to grapgics design,https://www.linkedin.com/jobs/view/junior-full-stack-software-engineer-at-interclypse-3997067955?position=2&pageNum=5&refId=Q9HIBB9DZnOE1QnqojrC4g%3D%3D&trackingId=92ouPTMZDcWtu%2FfrEk22%2BQ%3D%3D&trk=public_jobs_jserp-result_search-card
69,Software Engineer,Equiliem,"Lexington, MA","$$$ Our client has a Secret Cleareed,Field Test Software Engineeropening onsite in Lexington, MAthis position requires applicatns to have active Secret level secuirty clearances*This position is for a �?eld test software engineer that integrates and operates mission test infrastructure systems during �?eld demonstration events. This developer also integrates and maintains hardware and software systems, helps automate experimental data dissemination and collection and integrate hardware- based avionics systems.This position is not a core programming and coding type role. It is very much focused on software integration and test integration. The person will be doing coding/programming on a smaller scale as it relates to integrating various systems with each other, pulling data from these systems through reporting, and in creating visual dashboards for the reporting.Required Skills IncludeExperience operating and maintaining �?eld test infrastructure, especially avionics systemsDeveloping software-based automation techniques for live and post-experiment data capture, dissemination and visualizationSecuring and maintaining security posture for �?eld systems8+ years of experience with Software programming skills, including a signi�?cant percentage of the following: C/C++, and JavaScript.Experience with at least 2 or 3 of these other programming/scripting languages: JAVA Golang, PERL, TCL/TK, Javascript KML, GeoJSON, Node.js, HTML5, Google Earth, Cesium/CZML8+ years of experience with data collection and analysis software packages, preferably: Grafana, InﬂuxDBSigni�?cant experience integrating software systems with military and avionics standards such as Link 16, TTNT, MILSTD-1553, ARINC-429, DoD SATCOM.Signi�?cant experience integrating commercial SATCOM systems with military and avionics networksPreferred SkillsSigni�?cant experience with PQube power monitoring system data collection and analysisSoftware development to track moving objects on mapping applications such as Google EarthWorking knowledge of ASTI-Internal Communications Systems , ARINC distribution systems and GPS devices.Working knowledge of LN100, LTN-92, MIL-STD-1553 and ARINC-429 protocols.Working knowledge of RTX ARINC-429 Analyzer.Knowledge and experience of ISSO Duties with COMSEC Clearance.Ability to have or maintain a Class III FAA medical certi�?cateInterim Clearance is sufficient for start.#CJShow moreShow less",https://www.linkedin.com/jobs/view/software-engineer-at-equiliem-3996090561?position=3&pageNum=5&refId=Q9HIBB9DZnOE1QnqojrC4g%3D%3D&trackingId=SH%2F817AUIcWSvfRi85JoPQ%3D%3D&trk=public_jobs_jserp-result_search-card
70,Accounting Clerk,Ciocca Automotive,"Atlantic City, NJ",Related to grapgics design,https://www.linkedin.com/jobs/view/accounting-clerk-at-ciocca-automotive-3992321266?position=4&pageNum=5&refId=Q9HIBB9DZnOE1QnqojrC4g%3D%3D&trackingId=2gPcIeH3gty6zjEKTMCe5A%3D%3D&trk=public_jobs_jserp-result_search-card
71,Accounting Clerk,Minds Matter LLC,"Overland Park, KS",Related to grapgics design,https://www.linkedin.com/jobs/view/accounting-clerk-at-minds-matter-llc-3997881461?position=5&pageNum=5&refId=Q9HIBB9DZnOE1QnqojrC4g%3D%3D&trackingId=V%2BgLna1J35IJtCmM7fSgWg%3D%3D&trk=public_jobs_jserp-result_search-card
72,Front End Software Engineer,CATALOG,"Boston, MA",Related to grapgics design,https://www.linkedin.com/jobs/view/front-end-software-engineer-at-catalog-3991929419?position=6&pageNum=5&refId=Q9HIBB9DZnOE1QnqojrC4g%3D%3D&trackingId=5HFg%2FF2eYh2Y7OdGD447NA%3D%3D&trk=public_jobs_jserp-result_search-card
73,Software Engineer,Healthmine,United States,Related to grapgics design,https://www.linkedin.com/jobs/view/software-engineer-at-healthmine-3997646694?position=7&pageNum=5&refId=Q9HIBB9DZnOE1QnqojrC4g%3D%3D&trackingId=WUzhy1KX3n9n2hRy%2FRGgOg%3D%3D&trk=public_jobs_jserp-result_search-card
74,Accounting Clerk,Charger Water Treatment Products,"Morton Grove, IL",Related to grapgics design,https://www.linkedin.com/jobs/view/accounting-clerk-at-charger-water-treatment-products-3997305922?position=8&pageNum=5&refId=Q9HIBB9DZnOE1QnqojrC4g%3D%3D&trackingId=bX7SAroGOJnNHiCcaxUqiQ%3D%3D&trk=public_jobs_jserp-result_search-card
75,Frontend Software Engineer - Tools,Verkada,"San Mateo, CA",Related to grapgics design,https://www.linkedin.com/jobs/view/frontend-software-engineer-tools-at-verkada-3997829458?position=9&pageNum=5&refId=Q9HIBB9DZnOE1QnqojrC4g%3D%3D&trackingId=8PSF3zWF1JZbeFsLAq8pvw%3D%3D&trk=public_jobs_jserp-result_search-card
76,In-House Accountant/Bookkeeper,Eden's Floors Inc,"San Diego, CA","$$$ We are seeking a detail-oriented In-House Accountant/Bookkeeper to join our team. This is a part-time remote role. As an In-House Accountant/Bookkeeper, you will be responsible for managing the company's financial records, preparing financial statements, and ensuring accurate and timely payment of bills and invoices. You will also work closely with our finance team to analyze financial data, identify cost-saving opportunities, and provide recommendations for improving financial processes and procedures.The ideal candidate will have a strong understanding of GAAP principles and experience in various accounting functions, experience with Quickbooks desktop using AR/AP, Reconciliations, and understanding Financial Statements.RequirementsDutiesPerform account analysis and reconciliation tasksHandle accounts receivable and accounts payable functionsPrepare financial reports and statementsConduct financial report writing and analysisUtilize Quickbooks desktop software for accounting purposesDemonstrate proficiency in technical accounting proceduresManage general ledger accounting processesAssist with payroll tasks as neededQualificationsBachelor's degree in Accounting, Finance, or a related fieldProven experience working as an Accountant/Bookkeeper or in a similar roleCertification with 5+ years of experience preferredStrong knowledge of GAAP principlesExperience with payroll processingClear understanding of Tax Form filings needed throughout the year (forms such as 941, W2, 1099, etc.)Proficiency in Quickbooks desktop software and MS ExcelAbility to perform account analysis and reconciliation tasks effectivelyExcellent attention to detail and strong analytical skillsStrong communication and interpersonal skillsThis position offers a competitive salary, opportunities for professional growth, and a collaborative work environment. If you meet the qualifications and are looking to advance your career in accounting, we encourage you to apply for this exciting opportunity.Show moreShow less",https://www.linkedin.com/jobs/view/in-house-accountant-bookkeeper-at-eden-s-floors-inc-3994019426?position=10&pageNum=5&refId=Q9HIBB9DZnOE1QnqojrC4g%3D%3D&trackingId=Qt1OPgsRiUDrJ%2FsEYG3S5A%3D%3D&trk=public_jobs_jserp-result_search-card
77,Software Engineer,Microsoft,"Redmond, WA",Related to grapgics design,https://www.linkedin.com/jobs/view/software-engineer-at-microsoft-3997321335?position=1&pageNum=7&refId=2gySGclmcnjVeJ79iU4xNw%3D%3D&trackingId=Xt0Pd4flqf8Tpok0qNYZDQ%3D%3D&trk=public_jobs_jserp-result_search-card
78,Software Engineer - Frontend,Refuel,"San Francisco, CA","$$$ About Refuel.ai The Mission The next wave of ML applications (video security, conversational AI and autonomous vehicles) is going to look very different from the last one (search and recommender systems). Teams working in these domains have to deal with large streams of unstructured data (images, video, text and audio), exorbitant labeling costs, and broken feedback loops. For this next wave of ML applications, getting to production takes months and adapting to the long tail is an existential struggle. That’s what we’re solving - Refuel.ai accelerates time to production for ML applications built on top of unstructured data, and enables them to continually improve in the real world. The team Refuel.ai was founded in 2021 by Rishabh Bhargava and Nihit Desai. Our founders bring machine learning and product experience from the world's leading technology companies (Facebook, Instagram, Primer.ai and Cloudera) and institutions (Stanford, Cambridge and UIUC). We are backed by General Catalyst, XYZ Ventures and a host of successful and influential angel investors from places like Stanford, OpenAI, Datadog and Facebook. What you will doBuild our web application frontend. Frameworks/languages you will use on a regular basis include React, NextJS, Javascript and CSSWork closely with our design and engineering teams to implement new features and own them across the product life cycle.Prototype and rapidly experiment with new product features and UI improvements in response to customer feedbackHelp define and evolve our engineering stack as we scale the productHelp us hire a world-class team and mentor new team membersYou will be a great fit if you haveExpertise with building frontend applications using React and JavascriptThe ability and passion to lead product-defining initiatives from ideation to execution while maintaining a high bar for design and correctnessStrong communication skills and enjoy working in a collaborative environment. We encourage open discussion and want the best ideas to winA curiosity about the company building journeyBonus: prior experience with building interactive frontend interfaces for data-intensive software applicationsOur current tech stackInfrastructure - AWS + Serverless + Kubernetes + secret sauce infra to power modern MLBackend - Python + FastAPI + Postgres + DynamoDBFrontend - React + TypescriptWhat we offer We have raised funding from top-tier investors, including General Catalyst, XYZ Ventures and a host of successful angel investors from places such as Stanford, OpenAI, Facebook and Datadog. We will offer a competitive salary and meaningful equity in the company. Most importantly, you will have the opportunity to create a massive impact on the product and company as a member of our early team. We care a lot about making a difference for our customers while working on a team where we are empowered to do the best work of our lives.Show moreShow less",https://www.linkedin.com/jobs/view/software-engineer-frontend-at-refuel-3989298173?position=2&pageNum=7&refId=2gySGclmcnjVeJ79iU4xNw%3D%3D&trackingId=BXeSt043a8yHqoyrW6NxiA%3D%3D&trk=public_jobs_jserp-result_search-card
